DATE_TIME,MEAN_DAILY_AIR_TEMP_CELSIUS,MAX_DAILY_AIR_TEMP_CELSIUS,MIN_DAILY_AIR_TEMP_CELSIUS,SOIL_MIN_TEMP_CELSIUS,PRECIPITATION_MM,SNOW_THICKNESS_CM
1958-02-01,-1.475,0.7,-6.4,-7.0,1.1,39.0
1958-02-02,0.07500000000000001,0.4,-0.7,0.0,1.3,40.0
1958-02-03,-0.1,0.3,-0.5,0.0,2.7,39.0
1958-02-04,-4.050000000000001,-0.1,-8.1,-8.0,4.9,43.0
1958-02-05,-13.375,-7.7,-21.3,-29.0,1.5,43.0
1958-02-06,-13.500000000000002,-11.2,-21.4,-29.0,0.6,43.0
1958-02-07,-22.700000000000003,-14.9,-30.7,-36.0,0.0,43.0
1958-02-08,-16.375,-13.4,-26.4,-26.0,0.5,43.0
1958-02-09,-20.725,-15.1,-28.3,-32.0,0.0,43.0
1958-02-10,-18.9,-16.1,-20.8,-26.0,0.2,44.0
1958-02-11,-22.950000000000003,-15.4,-30.2,-31.0,0.0,43.0
1958-02-12,-12.450000000000001,-10.0,-23.4,-30.0,0.6,44.0
1958-02-13,-8.525,-6.8,-10.6,-11.0,5.3,48.0
1958-02-14,-5.875,-3.0,-8.2,-9.0,0.0,48.0
1958-02-15,-0.75,0.1,-4.6,-4.0,2.0,48.0
1958-02-16,-1.65,-0.1,-3.6,-3.0,0.1,48.0
1958-02-17,-4.525,-2.1,-8.5,-7.0,0.2,49.0
1958-02-18,-8.75,-7.6,-9.9,-9.0,0.0,47.0
1958-02-19,-8.200000000000001,-6.1,-9.9,-12.0,0.3,48.0
1958-02-20,-7.05,-5.1,-11.4,-15.0,1.2,49.0
1958-02-21,-9.575,-7.5,-14.7,-23.0,1.0,49.0
1958-02-22,-8.625,-6.2,-10.4,-12.0,1.4,50.0
1958-02-23,-14.025,-9.1,-19.8,-26.0,0.8,52.0
1958-02-24,-13.175,-10.1,-17.8,-19.0,0.6,50.0
1958-02-25,-15.0,-9.7,-19.0,-28.0,0.2,50.0
1958-02-26,-18.349999999999998,-8.1,-27.9,-33.0,0.1,50.0
1958-02-27,-3.1250000000000004,0.3,-8.5,-10.0,4.6,49.0
1958-02-28,-5.2,0.4,-6.5,-6.0,6.1,56.0
